 41
 Wed Sep 04 11:11:26 2019
 1
 1   2   3   4
 xy
 100
         2.43097E-04            4.15624E-08
         2.54553E-04            4.20288E-08
         2.66550E-04            4.17982E-08
         2.79112E-04            4.14735E-08
         2.92266E-04            4.06143E-08
         3.06040E-04            3.96295E-08
         3.20464E-04            3.87815E-08
         3.35567E-04            3.79918E-08
         3.51381E-04            3.77345E-08
         3.67941E-04            3.78814E-08
         3.85282E-04            3.89883E-08
         4.03440E-04            4.05375E-08
         4.22453E-04            4.16694E-08
         4.42363E-04            4.22471E-08
         4.63211E-04            4.18982E-08
         4.85041E-04            4.11280E-08
         5.07901E-04            4.03552E-08
         5.31837E-04            4.00382E-08
         5.56902E-04            4.09135E-08
         5.83148E-04            4.22821E-08
         6.10631E-04            4.28463E-08
         6.39409E-04            4.28672E-08
         6.69543E-04            4.28833E-08
         7.01098E-04            4.31057E-08
         7.34140E-04            4.28508E-08
         7.68739E-04            4.17120E-08
         8.04968E-04            4.13457E-08
         8.42905E-04            4.22953E-08
         8.82630E-04            4.27733E-08
         9.24227E-04            4.11917E-08
         9.67785E-04            4.01799E-08
         1.01339E-03            4.01644E-08
         1.06115E-03            4.07276E-08
         1.11117E-03            3.91817E-08
         1.16353E-03            3.74700E-08
         1.21837E-03            3.84673E-08
         1.27579E-03            3.73490E-08
         1.33591E-03            3.52158E-08
         1.39887E-03            3.48207E-08
         1.46480E-03            3.40273E-08
         1.53384E-03            3.32762E-08
         1.60612E-03            3.13091E-08
         1.68182E-03            3.12297E-08
         1.76108E-03            2.98679E-08
         1.84408E-03            2.84444E-08
         1.93098E-03            2.73924E-08
         2.02199E-03            2.64117E-08
         2.11728E-03            2.52441E-08
         2.21707E-03            2.44506E-08
         2.32155E-03            2.32527E-08
         2.43097E-03            2.25857E-08
         2.54553E-03            2.11355E-08
         2.66550E-03            2.02500E-08
         2.79112E-03            1.94439E-08
         2.92266E-03            1.79986E-08
         3.06040E-03            1.76118E-08
         3.20464E-03            1.67731E-08
         3.35567E-03            1.54826E-08
         3.51381E-03            1.47808E-08
         3.67941E-03            1.42179E-08
         3.85282E-03            1.31075E-08
         4.03440E-03            1.23642E-08
         4.22453E-03            1.15783E-08
         4.42363E-03            1.08143E-08
         4.63211E-03            1.02911E-08
         4.85041E-03            9.71989E-09
         5.07901E-03            9.00187E-09
         5.31837E-03            8.24902E-09
         5.56902E-03            7.90737E-09
         5.83148E-03            7.00619E-09
         6.10631E-03            6.43695E-09
         6.39409E-03            6.10935E-09
         6.69543E-03            5.66135E-09
         7.01098E-03            5.11133E-09
         7.34140E-03            4.70852E-09
         7.68739E-03            4.56942E-09
         8.04968E-03            4.03931E-09
         8.42905E-03            3.65334E-09
         8.82630E-03            3.45084E-09
         9.24227E-03            3.14031E-09
         9.67785E-03            2.78729E-09
         1.01339E-02            2.53981E-09
         1.06115E-02            2.39497E-09
         1.11117E-02            2.20389E-09
         1.16353E-02            1.69801E-09
         1.21837E-02            1.78245E-09
         1.27579E-02            1.59393E-09
         1.33591E-02            1.36621E-09
         1.39887E-02            1.36326E-09
         1.46480E-02            1.07985E-09
         1.53384E-02            9.96726E-10
         1.60612E-02            8.57457E-10
         1.68182E-02            8.36986E-10
         1.76108E-02            6.99785E-10
         1.84408E-02            6.61895E-10
         1.93098E-02            6.40710E-10
         2.02199E-02            5.12692E-10
         2.11728E-02            4.09695E-10
         2.21707E-02            4.69148E-10
         2.32155E-02            3.81510E-10
 2
 1   2   3   4
 xy
 100
         2.43097E-04            4.13775E-08
         2.54553E-04            4.18905E-08
         2.66550E-04            4.17266E-08
         2.79112E-04            4.14399E-08
         2.92266E-04            4.04208E-08
         3.06040E-04            3.92432E-08
         3.20464E-04            3.85453E-08
         3.35567E-04            3.80930E-08
         3.51381E-04            3.83145E-08
         3.67941E-04            3.90271E-08
         3.85282E-04            4.00557E-08
         4.03440E-04            4.12356E-08
         4.22453E-04            4.22331E-08
         4.42363E-04            4.27602E-08
         4.63211E-04            4.24143E-08
         4.85041E-04            4.14318E-08
         5.07901E-04            4.08731E-08
         5.31837E-04            4.13803E-08
         5.56902E-04            4.27755E-08
         5.83148E-04            4.38824E-08
         6.10631E-04            4.33367E-08
         6.39409E-04            4.18639E-08
         6.69543E-04            4.15700E-08
         7.01098E-04            4.31232E-08
         7.34140E-04            4.42891E-08
         7.68739E-04            4.35764E-08
         8.04968E-04            4.21300E-08
         8.42905E-04            4.14797E-08
         8.82630E-04            4.19674E-08
         9.24227E-04            4.20344E-08
         9.67785E-04            4.16506E-08
         1.01339E-03            4.05809E-08
         1.06115E-03            4.02833E-08
         1.11117E-03            4.01054E-08
         1.16353E-03            3.88174E-08
         1.21837E-03            3.73591E-08
         1.27579E-03            3.75921E-08
         1.33591E-03            3.66803E-08
         1.39887E-03            3.52449E-08
         1.46480E-03            3.31801E-08
         1.53384E-03            3.33656E-08
         1.60612E-03            3.23377E-08
         1.68182E-03            3.11011E-08
         1.76108E-03            3.00056E-08
         1.84408E-03            2.90320E-08
         1.93098E-03            2.79254E-08
         2.02199E-03            2.63972E-08
         2.11728E-03            2.58995E-08
         2.21707E-03            2.45222E-08
         2.32155E-03            2.30757E-08
         2.43097E-03            2.34767E-08
         2.54553E-03            2.10052E-08
         2.66550E-03            2.01020E-08
         2.79112E-03            1.96315E-08
         2.92266E-03            1.87331E-08
         3.06040E-03            1.77345E-08
         3.20464E-03            1.66444E-08
         3.35567E-03            1.58881E-08
         3.51381E-03            1.47037E-08
         3.67941E-03            1.39797E-08
         3.85282E-03            1.31857E-08
